o,h,l,c,volume
1.1002399999999999,1.10199,1.0990799999999998,1.10158,10128
1.10156,1.10315,1.10043,1.10061,9462
1.1006200000000002,1.1014,1.09762,1.0986200000000002,9721
1.0986,1.0987799999999999,1.0953600000000001,1.0982,12149
1.09822,1.10103,1.09794,1.10061,12829
1.1006,1.1059700000000001,1.10001,1.10589,14366
1.1059,1.1091600000000001,1.1052799999999998,1.10784,12363
1.10782,1.1102299999999998,1.1064200000000002,1.1098299999999999,8120
1.10982,1.1122,1.10911,1.11182,6960
1.1118,1.11296,1.1114,1.11228,8943
1.1123,1.11476,1.11202,1.11415,2148
1.11194,1.11316,1.11094,1.1123100000000001,294
1.11236,1.11296,1.1107200000000002,1.1110200000000001,1336
1.11104,1.11448,1.11056,1.11368,1991
1.1137,1.11386,1.10905,1.1105200000000002,4339
1.1105,1.11178,1.10922,1.1096,3472
1.10961,1.1097,1.10856,1.10935,2208
1.10934,1.10934,1.10795,1.10804,1720
1.10802,1.10866,1.1068799999999999,1.10816,2505
1.10814,1.11024,1.10704,1.11008,3750
1.11006,1.1106200000000002,1.10607,1.10624,8161
1.10626,1.1088799999999999,1.10608,1.10829,9701
1.1083,1.10919,1.10676,1.1091799999999998,9291
1.1091600000000001,1.1096,1.1065,1.10696,8047
1.10697,1.10733,1.10562,1.10676,6632
1.10677,1.10714,1.10456,1.10606,6952
1.10608,1.10626,1.10128,1.10154,8953
1.10152,1.1036299999999999,1.101,1.1031799999999998,11402
1.1031600000000001,1.10438,1.10194,1.10296,13549
1.10295,1.1046,1.10113,1.1017,9300
1.10169,1.10251,1.10111,1.1019700000000001,6332
1.10196,1.1024,1.1011600000000001,1.10186,4188
1.10184,1.10422,1.10168,1.1026799999999999,4781
1.10269,1.10534,1.10256,1.1053,4399
1.10532,1.10558,1.10366,1.10464,1875
1.10464,1.10535,1.10205,1.10486,965
1.10481,1.10513,1.10398,1.10418,633
1.1042,1.1042,1.10247,1.1029200000000001,1679
1.10294,1.1043,1.0984,1.10132,5133
1.10134,1.1025399999999999,1.10008,1.10164,6159
1.10165,1.1032,1.1011799999999998,1.10264,2754
1.1026200000000002,1.10332,1.10189,1.10266,2136
1.10265,1.1027799999999999,1.10141,1.10164,1870
1.10165,1.10206,1.1007799999999999,1.1018700000000001,2194
1.10186,1.1025200000000002,1.0991,1.10016,6801
1.10015,1.10066,1.09912,1.09965,8937
1.0996700000000001,1.10027,1.09784,1.09792,8218
1.0979,1.09902,1.0967,1.09764,8524
1.09762,1.09802,1.09479,1.0948799999999999,8006
1.0949,1.096,1.09267,1.09521,10043
1.0951899999999999,1.0979299999999999,1.09441,1.09722,13777
